Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08
All,Singapore,14,36,47,42,33,30,31,29,30,34,35,34,29,18,9,7,12,14,13,12,8,6,7,10,12,12,12,12,12,12,12,12,12,15,20,26,32,34,34,34,35,34,27,19,15,16,21,36,62,85,93,93,93,93,104,136,157,145,115,89,88,83,76,145,297,415,435,396,361,388,447,443,387,341,316,306,295,277,260,219,0
All,Portugal,4,9,11,14,25,37,35,26,20,22,25,0,0,0,0,0,2,9,14,0,0,0,0,0,0,0,0,25,94,150,102,37,17,27,73,129,180,292,353,240,168,277,384,281,266,392,341,161,117,332,582,472,240,259,395,325,182,227,431,556,578,609,612,621,623,554,495,490,499,511,532,550,550,544,530,500,468,446,403,0,0
All,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,0,3,4,0,0,0,0,7,0,0,0,0,0,1,3,6,12,19,28,60,121,180,231,273,287,303,324,344,323,263,256,323,359,335,281,223,182,159,127,102,116,155,181,198,225,254,289,348,408,447,417,321,223,140,0,0,0,0,0,0
All,Philippines,0,0,0,0,0,0,0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,13,43,76,89,93,105,124,141,155,154,174,233,268,289,288,251,222,198,183,235,331,403,447,420,300,203,185,195,185,161,163,210,260,284,340,413,448,498,553,605,654,634,565,451,266,0,0,0,0,0,0,0,0,0,0
All,Romania,7,13,12,9,7,7,9,9,6,4,5,10,22,32,29,17,15,25,34,30,27,28,24,15,8,8,10,6,3,4,12,18,16,12,7,4,6,9,11,14,24,39,58,82,98,102,103,97,107,116,95,73,67,69,76,72,69,70,64,55,44,33,29,30,42,70,106,133,145,170,243,352,450,487,459,414,365,269,149,0,0
All,Poland,5,16,24,20,13,10,10,6,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,3,6,12,15,15,24,46,59,53,69,108,146,179,218,313,479,669,860,990,957,915,1006,1210,1403,1405,1323,1270,1162,943,667,426,263,149,93,88,91,107,134,156,184,277,412,478,534,620,703,776,867,918,848,681,418,0
All,Nigeria,4,9,12,14,12,10,10,12,12,13,16,19,17,9,4,4,4,3,2,2,0,0,0,1,3,0,0,0,1,2,4,10,15,17,21,34,63,89,85,76,88,97,89,67,49,37,26,17,11,7,5,5,7,6,4,3,3,0,1,3,6,9,15,25,51,116,197,236,252,242,223,194,141,84,46,25,11,0,0,0,0
All,Slovakia,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,6,9,16,21,0,24,41,46,45,32,25,40,60,62,74,145,246,292,311,326,337,320,261,201,171,178,230,297,311,291,248,176,124,114,128,140,160,185,218,272,322,372,438,509,511,472,532,597,471,234,0,0
All,Israel,1,2,2,2,2,5,7,6,5,6,0,6,13,19,14,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,14,43,160,441,713,744,676,735,920,918,706,688,830,759,556,440,399,403,332,255,208,170,133,100,81,59,59,119,321,661,791,528,323,412,650,854,885,879,970,978,825,567,375,308,290,0,0,0,0
All,Bulgaria,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,2,2,1,0,0,0,1,2,2,2,2,4,10,18,21,22,30,41,47,62,89,115,127,139,176,234,285,311,296,253,208,170,139,110,77,47,29,30,41,49,57,73,84,88,108,156,216,279,351,418,434,399,361,362,397,405,325,0,49,0,0
All,Kenya,7,24,48,55,37,22,23,27,27,33,38,34,30,24,21,23,24,25,27,26,22,15,16,23,28,40,61,83,104,96,67,43,32,27,20,12,12,16,19,25,31,30,31,39,53,75,103,117,102,80,69,64,64,69,67,68,80,83,72,62,66,84,108,122,118,117,125,115,107,105,100,91,73,59,43,29,20,0,0,0,0
All,India,73,170,237,288,330,331,320,332,303,213,158,151,156,172,201,205,176,138,143,174,196,192,177,172,162,154,158,157,144,132,195,329,419,480,541,502,379,315,316,331,386,514,678,862,1056,1302,1588,1835,2109,2524,2972,3235,3431,3453,3071,2702,2434,2146,1954,1771,1645,1591,1552,1541,1504,1394,1296,1262,1145,1051,1066,1073,1028,944,749,463,226,94,0,0,0
All,Mexico,33,73,96,110,121,124,116,93,77,78,77,64,59,67,76,77,77,77,67,57,49,39,36,39,43,45,43,44,54,73,95,111,122,141,163,156,126,125,154,182,206,303,449,524,583,650,617,553,517,521,575,623,672,755,802,804,839,907,993,988,959,1021,1057,1023,1084,1221,1253,1202,1122,1053,998,1008,1025,1039,1070,1005,778,484,259,0,0
All,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,18,0,18,11,9,8,6,0,0,0,7,0,16,26,38,52,109,205,218,121,45,28,29,0,9,2,0,0
All,Turkey,14,32,39,37,32,23,15,12,13,0,0,1,1,2,4,3,2,3,4,5,6,6,4,0,0,0,0,0,2,7,12,0,4,9,20,28,27,35,85,168,224,305,457,533,567,573,518,365,418,540,318,83,58,128,0,0,95,162,194,282,477,768,1341,1742,1418,1690,4138,8143,11940,12198,6643,2361,1443,1092,1092,1201,876,582,400,338,0
All,Suriname,0,0,0,0,0,0,0,2,8,13,10,8,0,6,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,4,0,6,5,5,8,12,10,8,13,22,26,25,20,15,14,17,22,25,25,21,18,20,24,22,19,18,20,22,24,23,23,26,29,26,19,14,10,0,0,0,0,0
All,Kosovo,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,1,0,0,0,0,1,5,18,43,66,67,65,66,54,65,94,101,74,0,0,0,0,0,0
All,Russia,12,26,36,50,63,70,64,45,28,21,22,29,35,32,28,28,29,34,45,59,74,94,113,115,104,76,45,45,82,116,107,83,72,84,114,123,96,62,42,29,23,46,99,132,122,118,124,114,110,125,145,153,152,142,143,173,209,238,314,405,360,274,272,290,209,128,116,127,124,118,128,149,157,135,100,87,125,162,111,0,0
All,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,16,26,32,34,35,40,55,67,73,75,70,63,58,52,44,41,41,32,0,0,0,0,0,0,2,9,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,Ghana,0,0,0,5,9,0,3,2,0,2,2,5,11,17,13,6,4,7,11,10,0,1,1,1,0,0,4,7,7,8,10,13,14,13,11,16,39,68,64,41,34,39,41,35,29,28,27,24,24,32,43,47,44,34,29,33,35,29,20,15,21,35,53,69,73,65,57,59,56,37,17,8,6,0,0,0,0,0,0,0,0
All,Brazil,51,109,126,107,85,83,93,93,96,111,115,93,77,85,100,105,99,86,83,93,96,93,90,91,96,98,98,103,115,145,197,226,212,210,235,271,333,404,430,434,460,523,596,685,786,839,895,1035,1240,1474,1693,1769,1771,1676,1582,1666,1848,2029,2239,2352,2319,2420,2588,2580,2531,2439,2314,2172,1932,1792,1903,2018,1929,1649,1347,1134,777,321,0,0,0
All,Rwanda,0,0,0,0,0,0,1,2,0,0,0,1,2,2,0,4,11,20,21,12,0,0,0,0,1,2,0,3,0,0,0,1,4,13,21,19,17,20,24,22,16,11,10,9,7,4,2,5,8,6,3,2,2,3,3,3,2,0,4,17,38,46,37,28,20,21,24,17,10,13,16,11,4,2,2,0,0,0,0,0,0
All,Colombia,13,27,24,11,3,3,3,5,10,13,13,12,10,7,7,8,6,3,2,4,5,4,3,6,8,6,4,4,4,5,5,7,9,12,21,34,44,47,43,34,22,14,12,16,27,38,42,45,78,181,300,306,241,198,174,147,109,85,95,110,104,114,158,237,338,377,363,348,339,332,273,178,118,99,85,60,35,0,0,0,0
All,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,13,0,3,5,9,10,8,0,2,0,0,0,1,0,5,0,9,0,5,0,3,7,10,9,13,25,28,25,30,38,38,36,29,21,13,7,4,2,0,0,0
All,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,2,0,1,1,2,4,3,3,4,6,9,0,7,11,18,22,26,27,29,29,29,29,28,25,19,14,11,7,0,2,3,6,9,15,25,30,29,28,29,27,26,25,25,27,28,28,29,27,22,0,0,0
All,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,11,12,0,0,0,0,0,0,6,24,0,0,7,7,15,22,24,23,20,20,27,43,60,65,63,62,52,42,40,29,14,6,0,2,6,11,18,25,23,20,18,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
