Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01
All,Turkey,50,45,30,44,16,17,5,16,20,0,0,1,1,9,3,1,1,9,1,10,8,3,2,0,0,2,0,0,1,31,1,0,5,19,43,24,12,47,183,329,6,796,305,801,333,918,60,124,1251,16,4,2,142,292,0,0,290,150,120,618,525,957,3096,880,380,2328,10114,9372,23175,253,1066,2290,424,767,2034,170,859,275,0,0
All,Suriname,0,1,0,0,0,0,1,2,31,2,2,22,0,2,11,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,1,0,0,17,0,8,3,6,19,12,2,11,26,31,24,25,9,14,14,29,22,31,21,16,13,37,16,23,11,24,20,30,20,23,24,32,35,12,16,13,3,0,0,0,0
All,Kosovo,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,1,0,7,0,0,0,1,2,11,33,99,67,36,118,12,52,115,128,76,28,0,0,0,0,0
All,Lebanon,0,0,0,0,0,3,0,0,0,2,0,0,0,4,0,3,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,14,31,37,26,51,11,75,64,77,80,74,56,65,52,42,35,52,39,11,0,0,0,0,0,0,4,24,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,Russia,46,19,59,63,79,75,43,20,20,17,26,50,29,23,32,27,29,44,64,70,84,144,100,128,81,23,17,74,173,102,68,77,46,142,151,95,48,40,34,7,12,111,191,96,92,174,87,104,116,167,146,167,142,108,177,221,253,148,682,284,257,158,505,123,91,105,151,117,96,123,152,184,145,73,75,38,167,4,0,0
All,Ghana,0,1,0,18,8,0,2,6,0,1,4,6,31,10,4,1,8,12,17,1,0,0,1,1,0,0,16,4,8,9,17,15,15,8,10,12,111,76,13,35,39,46,32,17,31,25,26,15,31,51,43,58,25,21,36,38,33,14,12,13,36,44,85,72,68,41,62,72,28,1,2,11,3,0,0,0,0,0,0,0
All,Brazil,182,125,117,66,68,119,86,80,117,149,79,61,76,122,96,118,74,65,116,88,103,79,96,88,114,82,108,110,115,206,294,167,201,236,266,283,488,416,432,420,528,616,601,904,799,861,938,1355,1260,2048,1567,1968,1684,1398,1612,1946,1923,2255,2640,2092,2243,3010,2327,2684,2451,2207,2380,1868,1491,1979,2168,2004,1773,1043,1379,930,32,19,0,0
All,Rwanda,0,0,0,0,1,0,5,3,0,0,2,2,3,1,0,11,21,38,3,2,0,0,0,0,3,7,0,8,0,0,1,1,9,38,12,14,19,32,24,15,8,12,9,10,1,2,2,15,6,2,3,3,2,5,3,3,1,0,6,45,74,16,43,9,12,46,10,4,8,34,4,4,1,3,2,0,0,0,0,0
All,Colombia,49,32,1,1,3,5,2,11,19,10,15,13,5,3,18,2,4,1,2,12,1,4,2,18,1,7,3,3,7,5,6,12,5,24,29,57,46,47,37,19,11,11,12,22,51,43,35,47,92,466,320,203,194,179,157,111,46,91,150,83,80,184,145,445,397,323,377,275,402,295,131,95,97,109,44,42,7,0,0,0
All,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,24,1,0,4,15,10,8,7,0,2,0,1,0,3,0,19,0,21,0,2,0,8,17,7,1,34,42,9,27,57,26,49,24,22,15,3,5,2,1,0,0
