20A.EU1,20A.EU2,20A.S.126A,20A.S.210T,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I,Delta.N.412R
0.0,0.0,0.0,0.0,0.006075110456553756,0.005246686303387334,0.0037739322533136966,0.5290868924889544,0.1134020618556701,0.007639911634756995,0.027430044182621502,9.204712812960235e-05,0.007916053019145802,0.0011966126656848307,0.05780559646539028,0.0034977908689248897,0.021815169366715757,0.03212444771723122,0.1211340206185567,0.0014727540500736377,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0039694065253170685,0.004647110078419983,0.002226740245909575,0.44263723496950336,0.10455997676444961,0.012392293542453288,0.04143673153257818,0.0,0.004743924871720399,0.000968147933004163,0.042985768225384836,0.0036789621454158196,0.028173104850421144,0.0528608771420273,0.2013747700648659,0.0012585923129054119,0.0,9.681479330041631e-05,0.0,0.0
0.0,0.0,0.0,0.0,0.0021543649306856503,0.0035593855376545524,0.0012176845260397152,0.33982765080554517,0.08973398276508056,0.016017234919445487,0.059291869614087674,0.0,0.002716373173473211,0.0004683402023229674,0.028756088422630197,0.003746721618583739,0.030723117272386663,0.07868115399025852,0.3017047583364556,0.0008430123641813413,0.0,0.00018733608092918696,0.0,0.0
0.0,0.0,0.0,0.0,0.0011505588428665351,0.002136752136752137,0.0007396449704142012,0.2255095332018409,0.06977317554240631,0.016847468770545694,0.080456936226167,0.0,0.0014792899408284023,0.0001643655489809336,0.017504930966469427,0.003287310979618672,0.029174884944115714,0.10437212360289283,0.41995397764628534,0.0005752794214332676,0.0,0.0002465483234714004,0.0,0.0
0.0,0.0,0.0,0.0,0.000564652738565782,0.001129305477131564,0.0005019135453918063,0.13049752180186963,0.04692891649413389,0.014931927975406236,0.09900244682853379,0.0,0.0006901311249137336,6.273919317397578e-05,0.009787314135140222,0.0026977853064809585,0.025221155655938264,0.12127486040529518,0.5298324863542255,0.0005019135453918063,0.0,0.0002509567726959031,0.0,0.0
0.0,0.0,0.0,0.0,0.00021745748706127952,0.0006088809637715826,0.0003044404818857913,0.07084764928456487,0.028965337276562433,0.011960161788370373,0.10816335406428043,0.0,0.0002609489844735354,0.0,0.004958030704997173,0.0020875918757882832,0.020658461270821556,0.12847388335580395,0.6119253685904406,0.00047840647153481495,0.0,0.00021745748706127952,0.0,0.0
0.0,0.0,0.0,0.0,5.979788315493632e-05,0.0003288883573521497,0.00017939364946480894,0.03749327273814507,0.01752077976439634,0.009627459187944746,0.10410811457274413,0.0,0.00011959576630987264,0.0,0.0022125216767326437,0.0014351491957184715,0.015667045386593314,0.13161514082401482,0.6741613346887521,0.0004484841236620224,0.0,0.00023919153261974527,0.0,0.0
0.0,0.0,0.0,0.0,2.123097174157661e-05,0.0001486168021910363,0.00010615485870788305,0.019638648860958365,0.010700409757754612,0.008471157724889069,0.09284303942591453,0.0,6.369291522472984e-05,0.0,0.0009341627566293709,0.0008917008131462177,0.010785333644720918,0.132332646865247,0.721746884354897,0.00044585040657310886,0.0,0.0002972336043820726,6.369291522472984e-05,0.0
0.0,0.0,0.0,0.0,1.6482882526496234e-05,8.241441263248116e-05,6.593153010598494e-05,0.010845736702434522,0.0069392935436549145,0.007763437669979726,0.08213420362953074,0.0,4.94486475794887e-05,0.0,0.00047800359326839075,0.0005933837709538644,0.007038190838813892,0.13013235754668775,0.7542402215299412,0.000494486475794887,0.0,0.0003955891806359096,0.00013186306021196987,0.0
0.0,0.0,0.0,0.0,0.0,5.951495313197441e-05,2.9757476565987204e-05,0.006174676387442345,0.004746317512274959,0.006903734563309031,0.07327778604374349,0.0,7.439369141496801e-05,0.0,0.00029757476565987203,0.0004463621484898081,0.004508257699747061,0.12477309924118435,0.7793036750483558,0.0005951495313197441,0.0,0.0005505133164707633,0.00022318107424490404,0.0
0.0,0.0,0.0,0.0,0.0,3.056935422239205e-05,1.5284677111196025e-05,0.0033626289644631256,0.0031180741306839894,0.005594191822697745,0.06318685517768437,0.0,0.0002751241880015285,0.0,0.00018341612533435232,0.0003056935422239205,0.0028429499426824607,0.11708062667176156,0.8042032862055789,0.0007489491784486052,0.0,0.0007642338555598013,0.00038211692777990065,0.0
0.0,0.0,0.0,0.0,0.0,1.591773713448896e-05,1.591773713448896e-05,0.0017031978733903189,0.0018942107190041864,0.004122693917832641,0.05165305700141668,0.0,0.00047753211403466883,0.0,0.00011142415994142273,0.00019101284561386754,0.0018146220333317416,0.10978463301657036,0.8267672667653566,0.0009550642280693377,0.0,0.0009391464909348487,0.0005093675883036467,1.591773713448896e-05
0.0,0.0,0.0,1.5883352658079067e-05,0.0,0.0,0.0,0.0008735843961943487,0.0011118346860655348,0.0031925538842738927,0.04215441795454185,0.0,0.0002859003478454232,0.0,4.76500579742372e-05,9.53001159484744e-05,0.0012230181546720883,0.10382947632586287,0.8442319604822186,0.0011277180387236137,1.5883352658079067e-05,0.0009847678648009022,0.0005082672850585301,3.176670531615813e-05
0.0,0.0,0.0,1.5678158757035575e-05,0.0,0.0,0.0,0.0005173792389821739,0.0006114481915243874,0.0027123214649671544,0.035683489331012966,0.0,9.406895254221345e-05,0.0,1.5678158757035575e-05,4.7034476271106725e-05,0.0008622987316369566,0.09787874512017308,0.8581283414075851,0.0012228963830487748,1.5678158757035575e-05,0.0009093332079080633,0.00045466660395403164,3.135631751407115e-05
0.0,0.0,0.0,3.200204813108039e-05,0.0,0.0,0.0,0.0004000256016385049,0.00038402457757296467,0.002288146441372248,0.031073988735279057,0.0,0.00017601126472094214,0.0,1.6001024065540195e-05,1.6001024065540195e-05,0.0006400409626216078,0.09085381464413722,0.8705357142857143,0.0013280849974398362,3.200204813108039e-05,0.0008800563236047107,0.0004320276497695853,4.8003072196620584e-05
0.0,0.0,0.0,1.71777033410633e-05,1.71777033410633e-05,0.0,0.0,0.000343554066821266,0.0003091986601391394,0.001838014257493773,0.026797217212058747,0.0,0.0003091986601391394,0.0,1.71777033410633e-05,0.0,0.0004637979902087091,0.08320879498411063,0.8834149274242034,0.001425749377308254,3.43554066821266e-05,0.0009275959804174182,0.0004809756935497724,5.15331100231899e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002071017057649584,0.0002259291335617728,0.0014497119403547088,0.02238581165041232,0.0,0.0002071017057649584,0.0,1.88274277968144e-05,0.0,0.00032006627254584476,0.07540384832624167,0.8969763150958316,0.0014120570847610799,3.76548555936288e-05,0.0009601988176375344,0.0005648228339044319,3.76548555936288e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0814919927022095e-05,0.00016217311980539224,0.001317656598418812,0.01844719237786337,0.0,4.054327995134806e-05,0.0,0.0,0.0,0.00020271639975674033,0.06734238799918914,0.9098317453882019,0.0013987431583215083,4.054327995134806e-05,0.0009730387188323535,0.000608149199270221,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.230649118893598e-05,0.00011153245594467991,0.0013383894713361588,0.015681463305821996,0.0,0.0,0.0,0.0,0.0,0.00011153245594467991,0.059982154807048854,0.9203881329466875,0.0015168414008476466,4.461298237787196e-05,0.001026098594691055,0.0006468882444791434,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.746573649372408e-05,5.493147298744816e-05,0.0013458210881924799,0.013952594138811832,0.0,0.0,0.0,0.0,0.0,5.493147298744816e-05,0.05476667856848581,0.9278475102309869,0.0016479441896234447,8.239720948117224e-05,0.001016232250267791,0.0006317119393556538,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9463299131807416e-05,3.9463299131807416e-05,0.0013417521704814522,0.013022888713496448,0.0,0.0,0.0,0.0,0.0,3.9463299131807416e-05,0.05173638516179953,0.9325177584846093,0.0016574585635359116,0.00011838989739542226,0.0009865824782951855,0.0006314127861089187,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014924360626823146,0.01241435452140289,0.0,0.0,0.0,0.0,0.0,6.783800284919612e-05,0.05006444610270674,0.9357574113018112,0.0015602740655315107,0.00013567600569839224,0.0010175700427379419,0.0007462180313411573,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016422812779934308,0.011346670647954613,0.0,0.0,0.0,0.0,0.0,0.0,0.04852194684980591,0.9390862944162437,0.0011943863839952225,0.00014929829799940282,0.0010450880859958196,0.0008957897879964168,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
